LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:e1d917,"<sprite tint=1 name=""LeftArrow""> White Coast Weg","<sprite tint=1 name=""LeftArrow""> White Coast Trail","<sprite tint=1 name=""LeftArrow""> White Coast Trail",Original,HomeSignStart
line:8e78cb,"Rangers Hütte <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>","Rangers Cabin <sprite name=""RightArrow"" tint=1>",Original,HomeSignStart
line:2a55e5,"entschuldigung, wie viel uhr ist es?",excuse me do you have the time?,excuse me do you have the time?,Original,GoatStart
line:b03acc,"ähh, lass' mich sehen..","um yeah, let me chec-","um yeah, let me chec-",Player,GoatStart
line:445422,schau... normalerweise weiß ich\nwie viel uhr es ist,see... normally i would know the time,see... normally i would know the time,Original,GoatStart
line:e86981,ich hab' gerade meine uhr verloren,i just lost my watch,i just lost my watch,Original,GoatStart
line:b74c71,"oh, ähm","oh, um","oh, um",Player,GoatStart
line:78b6fa,tut mir leid\nfür dich,sorry,sorry,Player,GoatStart
line:a60085,sie war sehr teuer,it was very expensive,it was very expensive,Original,GoatStart
line:ba52fa,und für mich auch\nirgendwie unbezahlbar,and priceless when you\nconsider the sentimental value,and priceless when you\nconsider the sentimental value,Original,GoatStart
line:3407a1,ah,i see,i see,Player,GoatStart
line:0d0268,"kannst du sie mir zurückbringen,\nwenn du sie findest?","if you find it, can you\nbring it back to me?","if you find it, can you\nbring it back to me?",Original,GoatStart
line:aa6cf0,aber sicher doch,sure,sure,Player,GoatStart
line:e4e4ee,bitte verkaufe sie nicht\nim internet oder sonst irgendwo,please don't sell it on\nthe internet or whatever,please don't sell it on\nthe internet or whatever,Original,GoatStart
line:b427c9,sie ist sehr wertvoll für mich,it's very valuable to me,it's very valuable to me,Original,GoatStart
line:deb271,"nein, keine sorge","no, don't worry","no, don't worry",Player,GoatStart
line:6a5e2f,ich werde sie gleich zurückbringen,i'll bring it right back,i'll bring it right back,Player,GoatStart
line:0c1b44,okay,ok,ok,Original,GoatStart
line:55e682,vielen dank,thanks,thanks,Original,GoatStart
line:1cf998,"<sprite tint=1 name=""UpArrow""> Rangers Hütte","<sprite tint=1 name=""UpArrow""> Rangers Cabin","<sprite tint=1 name=""UpArrow""> Rangers Cabin",Original,BeachHutSign
line:6df2cf,"<sprite name=""DownArrow"" tint=1> White Coast Weg","<sprite name=""DownArrow"" tint=1> White Coast Trail","<sprite name=""DownArrow"" tint=1> White Coast Trail",Original,BeachHutSign
line:6794ce,"<sprite tint=1 name=""UpArrow""> Hawk Peak Weg\nWhite Coast Weg <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>",Original,WhiteCoastSign
